date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2021-06-18 12:15:00,259.9861,260.61,259.79,260.5,556339.0,-0.1074,260.1885,51.0655,260.1885,258.8032,261.5738
2021-06-18 12:30:00,260.5,260.81,260.37,260.8,398653.0,0.1498,260.208,53.0663,260.208,258.8,261.616
2021-06-18 12:45:00,260.81,261.1,260.64,260.67,476381.0,0.0691,260.217,52.0947,260.217,258.7996,261.6344
2021-06-18 13:00:00,260.65,260.91,260.39,260.87,478421.0,0.1651,260.2385,53.4742,260.2385,258.7954,261.6816
2021-06-18 13:15:00,260.86,261.12,260.64,260.91,503714.0,0.2343,260.269,53.7546,260.269,258.7965,261.7415
2021-06-18 13:30:00,260.92,260.95,260.23,260.24,376980.0,0.4206,260.3235,48.5919,260.3235,258.9429,261.7041
2021-06-18 13:45:00,260.23,260.72,260.23,260.5042,378332.0,0.5264,260.3917,50.5627,260.3917,259.1214,261.6621
2021-06-18 14:00:00,260.52,260.7,260.15,260.6499,370795.0,0.3271,260.4342,51.639,260.4342,259.1893,261.6791
2021-06-18 14:15:00,260.64,261.055,260.37,260.68,589904.0,0.4857,260.4972,51.8668,260.4972,259.3395,261.6549
2021-06-18 14:30:00,260.68,260.87,260.43,260.5684,322981.0,0.4195,260.5516,50.9303,260.5516,259.4921,261.6111
2021-06-18 14:45:00,260.58,260.74,260.24,260.29,368667.0,-0.1381,260.5336,48.6246,260.5336,259.4692,261.5981
2021-06-18 15:00:00,260.28,260.57,260.11,260.3,541385.0,0.05,260.5401,48.7124,260.5401,259.4831,261.5972
2021-06-18 15:15:00,260.29,260.58,260.1,260.49,621441.0,-0.1648,260.5186,50.4072,260.5186,259.476,261.5613
2021-06-18 15:30:00,260.49,260.98,260.39,260.81,637705.0,-0.2448,260.4866,53.1519,260.4866,259.5241,261.4492
2021-06-18 15:45:00,260.79,261.08,260.5,261.01,824154.0,-0.3094,260.4461,54.7977,260.4461,259.6592,261.233
2021-06-18 16:00:00,261.01,261.13,258.85,259.27,3009638.0,-0.4798,260.3836,41.4592,260.3836,259.446,261.3212
2021-06-18 16:15:00,259.43,259.69,259.17,259.46,2775742.0,-0.1078,260.3696,43.0525,260.3696,259.3867,261.3525
2021-06-18 16:30:00,259.42,259.43,259.28,259.31,79317.0,-0.1117,260.3551,42.1003,260.3551,259.3201,261.3902
2021-06-18 16:45:00,259.42,259.43,259.23,259.23,29602.0,-0.2156,260.3271,41.5839,260.3271,259.2057,261.4485
2021-06-18 17:00:00,259.37,259.43,258.9,259.0,16593.0,-0.377,260.2781,40.0957,260.2781,259.0227,261.5335
2021-06-18 17:15:00,258.995,259.05,258.9,259.05,2768.0,-0.5566,260.2056,40.5823,260.2056,258.8466,261.5646
